ticket_serial,match_id,seat_number,price,status,stadium_serial,home_team,away_team,stadium_id,match_date,name,city,capacity
T5022,1,Section-1-Row-10-Seat-4,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5023,1,Section-3-Row-7-Seat-3,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5024,1,Section-1-Row-3-Seat-12,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5025,1,Section-1-Row-3-Seat-9,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5026,1,Section-1-Row-8-Seat-12,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5027,1,Section-1-Row-6-Seat-14,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5028,1,Section-1-Row-6-Seat-6,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5029,1,Section-1-Row-8-Seat-4,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5030,1,Section-1-Row-1-Seat-18,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5031,1,Section-3-Row-3-Seat-18,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5032,1,Section-3-Row-3-Seat-7,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5033,1,Section-1-Row-3-Seat-12,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5034,1,Section-3-Row-10-Seat-7,150,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5035,1,Section-5-Row-5-Seat-17,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5036,1,Section-3-Row-6-Seat-15,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5037,1,Section-5-Row-8-Seat-18,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5038,1,Section-4-Row-5-Seat-15,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5039,1,Section-4-Row-8-Seat-17,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5040,1,Section-1-Row-6-Seat-10,150,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5041,1,Section-4-Row-9-Seat-15,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5042,1,Section-4-Row-4-Seat-12,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5043,1,Section-2-Row-5-Seat-14,150,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5044,1,Section-1-Row-5-Seat-9,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5045,1,Section-1-Row-4-Seat-9,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5046,1,Section-1-Row-9-Seat-11,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5047,1,Section-4-Row-10-Seat-1,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5048,1,Section-5-Row-6-Seat-12,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5049,1,Section-3-Row-8-Seat-1,300,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5050,1,Section-5-Row-7-Seat-7,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5051,2,Section-4-Row-10-Seat-10,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5052,2,Section-5-Row-6-Seat-17,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5053,2,Section-5-Row-8-Seat-17,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5054,2,Section-3-Row-3-Seat-12,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5055,2,Section-2-Row-7-Seat-1,300,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5056,2,Section-5-Row-5-Seat-16,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5057,2,Section-5-Row-7-Seat-10,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5058,2,Section-4-Row-7-Seat-17,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5059,2,Section-1-Row-8-Seat-20,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5060,2,Section-4-Row-3-Seat-19,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5061,2,Section-5-Row-9-Seat-19,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5062,2,Section-4-Row-8-Seat-8,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5063,2,Section-3-Row-9-Seat-9,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5064,2,Section-5-Row-3-Seat-1,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5065,2,Section-4-Row-4-Seat-16,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5066,2,Section-5-Row-1-Seat-15,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5067,2,Section-1-Row-3-Seat-3,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5068,2,Section-3-Row-7-Seat-4,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5069,2,Section-1-Row-10-Seat-11,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5070,2,Section-3-Row-4-Seat-3,300,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5071,2,Section-5-Row-4-Seat-3,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5072,2,Section-4-Row-7-Seat-2,150,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5073,2,Section-2-Row-6-Seat-20,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5074,2,Section-4-Row-8-Seat-2,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5075,2,Section-3-Row-7-Seat-19,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5076,2,Section-1-Row-8-Seat-8,300,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5077,2,Section-5-Row-9-Seat-17,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5078,2,Section-4-Row-5-Seat-20,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5079,2,Section-1-Row-8-Seat-16,300,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5080,2,Section-3-Row-9-Seat-14,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5081,2,Section-2-Row-4-Seat-5,150,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5082,2,Section-2-Row-3-Seat-16,150,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5083,2,Section-3-Row-5-Seat-3,150,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5084,2,Section-5-Row-1-Seat-16,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5085,2,Section-1-Row-7-Seat-9,150,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5086,2,Section-1-Row-2-Seat-15,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5087,2,Section-3-Row-1-Seat-2,250,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5088,2,Section-3-Row-4-Seat-16,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5089,2,Section-5-Row-5-Seat-2,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5090,2,Section-5-Row-7-Seat-20,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5091,2,Section-2-Row-7-Seat-14,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5092,2,Section-1-Row-5-Seat-6,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5093,2,Section-4-Row-7-Seat-14,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5094,2,Section-1-Row-4-Seat-6,200,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5095,2,Section-3-Row-6-Seat-13,150,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5096,2,Section-2-Row-4-Seat-16,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5097,2,Section-2-Row-8-Seat-11,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5098,2,Section-4-Row-6-Seat-15,300,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5099,2,Section-3-Row-3-Seat-11,250,available,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5100,2,Section-1-Row-3-Seat-4,200,sold,S1003,England,USA,3,2034-06-28 00:00,Prince Mohammed bin Fahd Stadium,Dammam,35000
T5101,3,Section-1-Row-8-Seat-13,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5102,3,Section-3-Row-4-Seat-4,300,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5103,3,Section-2-Row-4-Seat-14,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5104,3,Section-4-Row-7-Seat-16,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5105,3,Section-1-Row-8-Seat-12,300,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5106,3,Section-5-Row-1-Seat-14,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5107,3,Section-4-Row-8-Seat-6,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5108,3,Section-2-Row-1-Seat-19,250,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5109,3,Section-4-Row-3-Seat-10,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5110,3,Section-5-Row-1-Seat-1,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5111,3,Section-4-Row-7-Seat-9,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5112,3,Section-4-Row-4-Seat-11,200,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5113,3,Section-4-Row-8-Seat-15,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5114,3,Section-5-Row-6-Seat-2,250,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5115,3,Section-4-Row-7-Seat-13,300,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5116,3,Section-4-Row-3-Seat-8,200,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5117,3,Section-4-Row-8-Seat-8,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5118,3,Section-2-Row-8-Seat-7,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5119,3,Section-2-Row-10-Seat-3,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5120,3,Section-3-Row-7-Seat-14,300,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5121,3,Section-5-Row-10-Seat-6,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5122,3,Section-2-Row-1-Seat-1,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5123,3,Section-5-Row-7-Seat-19,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5124,3,Section-3-Row-2-Seat-13,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5125,3,Section-2-Row-3-Seat-17,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5126,3,Section-4-Row-1-Seat-19,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5127,3,Section-5-Row-2-Seat-8,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5128,3,Section-4-Row-3-Seat-20,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5129,3,Section-5-Row-3-Seat-3,200,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5130,3,Section-3-Row-3-Seat-2,300,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5131,3,Section-5-Row-2-Seat-10,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5132,3,Section-1-Row-9-Seat-4,300,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5133,3,Section-3-Row-8-Seat-19,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5134,3,Section-1-Row-5-Seat-19,250,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5135,3,Section-5-Row-7-Seat-9,300,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5136,3,Section-4-Row-3-Seat-9,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5137,3,Section-3-Row-8-Seat-2,250,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5138,3,Section-4-Row-3-Seat-4,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5139,3,Section-5-Row-7-Seat-11,300,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5140,3,Section-5-Row-5-Seat-9,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5141,3,Section-2-Row-3-Seat-14,200,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5142,3,Section-1-Row-7-Seat-13,300,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5143,3,Section-3-Row-9-Seat-4,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5144,3,Section-4-Row-7-Seat-7,300,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5145,3,Section-5-Row-8-Seat-12,150,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5146,3,Section-1-Row-1-Seat-4,150,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5147,3,Section-1-Row-3-Seat-5,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5148,3,Section-3-Row-4-Seat-6,250,available,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5149,3,Section-4-Row-10-Seat-15,250,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5150,3,Section-5-Row-5-Seat-5,200,sold,S1001,South Korea,Morocco,1,2034-07-02 00:00,King Fahd Stadium,Riyadh,75000
T5151,4,Section-4-Row-6-Seat-11,250,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5152,4,Section-3-Row-7-Seat-10,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5153,4,Section-4-Row-8-Seat-3,300,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5154,4,Section-1-Row-9-Seat-10,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5155,4,Section-4-Row-1-Seat-19,150,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5156,4,Section-4-Row-1-Seat-12,300,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5157,4,Section-1-Row-3-Seat-20,300,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5158,4,Section-1-Row-2-Seat-13,150,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5159,4,Section-2-Row-1-Seat-2,250,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5160,4,Section-1-Row-4-Seat-6,200,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5161,4,Section-5-Row-2-Seat-12,150,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5162,4,Section-5-Row-8-Seat-7,300,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5163,4,Section-1-Row-10-Seat-9,250,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5164,4,Section-2-Row-8-Seat-7,200,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5165,4,Section-4-Row-8-Seat-12,300,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5166,4,Section-2-Row-5-Seat-18,300,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5167,4,Section-1-Row-1-Seat-2,150,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5168,4,Section-2-Row-10-Seat-5,150,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5169,4,Section-3-Row-4-Seat-17,200,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5170,4,Section-5-Row-9-Seat-13,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5171,4,Section-3-Row-3-Seat-4,150,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5172,4,Section-4-Row-1-Seat-15,250,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5173,4,Section-4-Row-8-Seat-3,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5174,4,Section-5-Row-2-Seat-2,300,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5175,4,Section-2-Row-1-Seat-20,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5176,4,Section-4-Row-3-Seat-13,300,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5177,4,Section-2-Row-10-Seat-7,250,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5178,4,Section-2-Row-1-Seat-4,250,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5179,4,Section-3-Row-5-Seat-11,150,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5180,4,Section-1-Row-4-Seat-17,150,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5181,4,Section-1-Row-6-Seat-10,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5182,4,Section-3-Row-6-Seat-5,250,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5183,4,Section-1-Row-4-Seat-16,150,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5184,4,Section-5-Row-7-Seat-13,200,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5185,4,Section-5-Row-1-Seat-14,200,available,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
T5186,4,Section-5-Row-3-Seat-14,150,sold,S1001,Germany,Morocco,1,2034-06-19 00:00,King Fahd Stadium,Riyadh,75000
